Year,Population,Total,relative_to_pop
1960,179323175,3384200,52.98835027480645
1961,182992000,3488000,52.46330275229358
1962,185771000,3752200,49.50988753264751
1963,188483000,4109500,45.86519041245894
1964,191141000,4564600,41.874643999474216
1965,193526000,4739400,40.83343883191965
1966,195576000,5223500,37.44156217095817
1967,197457000,5903400,33.44801300945218
1968,199399000,6720200,29.67158715514419
1969,201385000,7410900,27.17416238243668
1970,203235298,8098000,25.096974314645593
1971,206212000,8588200,24.01108497706155
1972,208230000,8248800,25.243671806808262
1973,209851000,8718100,24.070726419747423
1974,211392000,10253400,20.616771022295044
1975,213124000,11292400,18.873224469554746
1976,214659000,11349700,18.913187132699544
1977,216332000,10984500,19.69429650871683
1978,218059000,11209000,19.453920956374343
1979,220099000,12249500,17.96799869382424
1980,225349264,13408300,16.806699134118418
1981,229146000,13423800,17.07012917355741
1982,231534000,12974400,17.84544950055494
1983,233981000,12108600,19.323538641956958
1984,236158000,11881800,19.875608072850916
1985,238740000,12431400,19.20459481635214
1986,240132887,13211869,18.175542536790214
1987,242282918,13508700,17.93532449458497
1988,245807000,13923100,17.654617147043403
1989,248239000,14251400,17.418569403707707
1990,248709873,14475600,17.181317043853106
1991,252177000,14872900,16.955469343571192
1992,255082000,14438200,17.66716072640634
1993,257908000,14144800,18.23341439963803
1994,260341000,13989500,18.60974302155188
1995,262755000,13862700,18.95409985067844
1996,265228572,13493863,19.655496131834152
1997,267637000,13194571,20.2838728140536
1998,270296000,12475634,21.665912930757667
1999,272690813,11634378,23.43836627965844
2000,281421906,11608072,24.243638909200424
2001,285317559,11876669,24.02336538974017
2002,287973924,11878954,24.24236376367818
2003,290690788,11826538,24.579533587935877
2004,293656842,11679474,25.14298520635433
2005,296507061,11565499,25.637204326419464
2006,299398484,11401511,26.259544370917155
2007,301621157,11251828,26.80641376672306
2008,304374846,11160543,27.272404756650282
2009,307006550,10762956,28.524370999937194
2010,309330219,10363873,29.846971204683808
2011,311587816,10258774,30.37281218983867
2012,313873685,10219059,30.714538882689688
2013,316497531,9850445,32.130277464622154
2014,318857056,9475816,33.64956178971816
