Year,Estimated Number of Illegal Immigrants
1990,3500000
1991,4502800.92
1992,5493561.835
1993,6465514.943
1994,7444918.007
1995,8171208.28
1996,9161440.158
1997,10318555.29
1998,11266419.14
1999,12294910.09
2000,13295471.42
2001,14429796.01
2002,15039026.77
2003,15343472.53
2004,15589089.27
2005,16100233.22
2006,16720574.87
2007,17288155.84
2008,17509708.32
2009,17583826.53
2010,17407044.07
2011,16742683.08
2012,16438106.55
2013,16054121.71
2014,16258054.52
2015,16586605.73
2016,17256717.27
2017,17053966.46
